Sample in Buffer,Sample in Window,TRIGGER,da_data_OBUF[7:0]
313,313,0,00
314,314,0,00
315,315,0,00
316,316,0,00
317,317,0,00
318,318,0,00
319,319,0,00
320,320,0,00
321,321,0,00
322,322,0,00
323,323,0,00
324,324,0,00
325,325,0,00
326,326,0,00
327,327,0,00
328,328,0,00
329,329,0,00
330,330,0,00
331,331,0,00
332,332,0,00
333,333,0,00
334,334,0,00
335,335,0,00
336,336,0,00
337,337,0,00
338,338,0,00
339,339,0,00
340,340,0,00
341,341,0,00
342,342,0,00
343,343,0,00
344,344,0,00
345,345,0,00
346,346,0,00
347,347,0,00
348,348,0,00
349,349,0,00
350,350,0,00
351,351,0,00
352,352,0,00
353,353,0,00
354,354,0,00
355,355,0,00
356,356,0,00
357,357,0,00
358,358,0,00
359,359,0,00
360,360,0,00
361,361,0,00
362,362,0,00
363,363,0,00
364,364,0,00
365,365,0,00
366,366,0,00
367,367,0,00
368,368,0,00
369,369,0,00
370,370,0,00
371,371,0,00
372,372,0,00
373,373,0,00
374,374,0,00
375,375,0,00
376,376,0,00
377,377,0,00
378,378,0,00
379,379,0,00
380,380,0,00
381,381,0,00
382,382,0,00
383,383,0,00
384,384,0,00
385,385,0,00
386,386,0,00
387,387,0,00
388,388,0,00
389,389,0,00
390,390,0,00
391,391,0,00
392,392,0,00
393,393,0,00
394,394,0,00
395,395,0,00
396,396,0,00
397,397,0,00
398,398,0,00
399,399,0,00
400,400,0,00
401,401,0,00
402,402,0,00
403,403,0,00
404,404,0,00
405,405,0,00
406,406,0,00
407,407,0,00
408,408,0,00
409,409,0,00
410,410,0,00
411,411,0,00
412,412,0,00
413,413,0,00
414,414,0,00
415,415,0,00
416,416,0,00
417,417,0,00
418,418,0,00
419,419,0,00
420,420,0,00
421,421,0,00
422,422,0,00
423,423,0,00
424,424,0,00
425,425,0,00
426,426,0,00
427,427,0,00
428,428,0,00
429,429,0,00
430,430,0,00
431,431,0,00
432,432,0,00
433,433,0,00
434,434,0,00
435,435,0,00
436,436,0,00
437,437,0,00
438,438,0,00
439,439,0,00
440,440,0,00
441,441,0,00
442,442,0,00
443,443,0,00
444,444,0,00
445,445,0,00
446,446,0,00
447,447,0,00
448,448,0,00
449,449,0,00
450,450,0,00
451,451,0,00
452,452,0,00
453,453,0,00
454,454,0,00
455,455,0,00
456,456,0,00
457,457,0,00
458,458,0,00
459,459,0,00
460,460,0,00
461,461,0,00
462,462,0,00
463,463,0,00
464,464,0,00
465,465,0,00
466,466,0,00
467,467,0,00
468,468,0,00
469,469,0,00
470,470,0,00
471,471,0,00
472,472,0,00
473,473,0,00
474,474,0,00
475,475,0,00
476,476,0,00
477,477,0,00
478,478,0,00
479,479,0,00
480,480,0,00
481,481,0,00
482,482,0,00
483,483,0,00
484,484,0,00
485,485,0,00
486,486,0,00
487,487,0,00
488,488,0,00
489,489,0,00
490,490,0,00
491,491,0,00
492,492,0,00
493,493,0,00
494,494,0,00
495,495,0,00
496,496,0,00
497,497,0,00
498,498,0,00
499,499,0,00
500,500,0,00
501,501,0,00
502,502,0,00
503,503,0,00
504,504,0,00
505,505,0,00
506,506,0,00
507,507,0,00
508,508,0,00
509,509,0,00
510,510,0,00
511,511,0,00
512,512,1,00
513,513,0,00
514,514,0,00
515,515,0,00
516,516,0,80
517,517,0,ff
518,518,0,ff
519,519,0,ff
520,520,0,ff
521,521,0,ff
522,522,0,ff
523,523,0,ff
524,524,0,ff
525,525,0,ff
526,526,0,ff
527,527,0,ff
528,528,0,ff
